"","Gender","Age","Department","Response","Satisfaction","Statement"
"5021","Female","Below 35","Finance","Disagree","Feedback","I receive useful and constructive feedback from my supervisor"
"5022","Female","36-45","Devolution","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5023","Male","Below 35","Agriculture","Strongly Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5024","Male","36-45","Transport","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5025","Female","Above 55","Health","Neutral","Feedback","I receive useful and constructive feedback from my supervisor"
"5026","Female","36-45","Education","Strongly Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5027","Female","46-55","Education","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5028","Male","Below 35","Agriculture","Strongly Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5029","Female","36-45","Education","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5030","Male","Above 55","Finance","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5031","Male","36-45","Health","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5032","Female","Below 35","Education","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5033","Female","36-45","Education","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5034","Male","Below 35","Education","Strongly Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5035","Female","Above 55","Health","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5036","Male","36-45","Devolution","Disagree","Feedback","I receive useful and constructive feedback from my supervisor"
"5037","Female","36-45","Education","Disagree","Feedback","I receive useful and constructive feedback from my supervisor"
"5038","Male","Below 35","Education","Strongly Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5039","Female","46-55",NA,"Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5040","Female","36-45","Education","Disagree","Feedback","I receive useful and constructive feedback from my supervisor"
"5041","Male","46-55","Health","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5042","Male","36-45","Health","Neutral","Feedback","I receive useful and constructive feedback from my supervisor"
"5043","Male","36-45","Devolution","Strongly Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5044","Male","36-45","Devolution","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5045","Female","Below 35","Education","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5046","Female","Below 35","Education","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5047","Female","Below 35","Health","Strongly Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5048","Female","36-45","Health","Strongly Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5049","Female","36-45","Health","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5050","Male","36-45","Finance","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5051","Female","Above 55","Agriculture","Disagree","Feedback","I receive useful and constructive feedback from my supervisor"
"5052","Male","Below 35","Lands","Neutral","Feedback","I receive useful and constructive feedback from my supervisor"
"5053","Female","36-45","Education","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5054","Female","36-45","Health","Strongly Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5055","Male","46-55","Agriculture","Strongly Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5056","Male","Below 35","Finance","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5057","Male","Below 35","Health","Strongly Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5058","Female","36-45","Health","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5059","Male","36-45","Health","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5060","Male","36-45","Education","Agree","Feedback","I receive useful and constructive feedback from my supervisor"
"5061","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5062","Male","36-45","Devolution","Neutral","Feedback","I am given adequate feedback about my performance."
"5063","Male","Below 35","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5064","Male","Below 35","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5065","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5066","Female","36-45","Agriculture","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5067","Male","Below 35","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5068","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5069","Female","Below 35","Education","Disagree","Feedback","I am given adequate feedback about my performance."
"5070","Female","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5071","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5072","Male","36-45","Finance","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5073","Male","Below 35","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5074","Male","36-45","Devolution","Disagree","Feedback","I am given adequate feedback about my performance."
"5075","Male","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5076","Female","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5077","Male","46-55","Education","Disagree","Feedback","I am given adequate feedback about my performance."
"5078","Male","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5079","Male","46-55","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5080","Male","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5081","Male","36-45","Transport","Neutral","Feedback","I am given adequate feedback about my performance."
"5082","Male","36-45","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5083","Female","36-45","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5084","Male","46-55","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5085","Male","46-55","Agriculture","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5086","Female","Below 35","Devolution","Agree","Feedback","I am given adequate feedback about my performance."
"5087","Male","Below 35","Water","Disagree","Feedback","I am given adequate feedback about my performance."
"5088","Male","46-55","Agriculture","Disagree","Feedback","I am given adequate feedback about my performance."
"5089","Male","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5090","Male","36-45","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5091","Female","46-55","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5092","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5093","Female","46-55","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5094","Female","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5095","Female","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5096","Male","46-55","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5097","Male","Below 35","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5098","Male","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5099","Male","36-45","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5100","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5101","Male","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5102","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5103","Male","Above 55","Water","Disagree","Feedback","I am given adequate feedback about my performance."
"5104","Male","36-45","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5105","Male","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5106","Male","Below 35","Education","Disagree","Feedback","I am given adequate feedback about my performance."
"5107","Male","Below 35","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5108","Male","Below 35","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5109","Male","46-55","Agriculture","Disagree","Feedback","I am given adequate feedback about my performance."
"5110","Male","46-55","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5111","Female","Above 55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5112","Female","46-55","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5113","Male","Below 35","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5114","Female","Below 35","Devolution","Agree","Feedback","I am given adequate feedback about my performance."
"5115","Male","36-45","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5116","Female","46-55","Education","Disagree","Feedback","I am given adequate feedback about my performance."
"5117","Female","Below 35","Agriculture","Neutral","Feedback","I am given adequate feedback about my performance."
"5118","Male","36-45","Devolution","Neutral","Feedback","I am given adequate feedback about my performance."
"5119","Female","36-45","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5120","Male","36-45","Trade","Agree","Feedback","I am given adequate feedback about my performance."
"5121","Female","36-45","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5122","Female","46-55","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5123","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5124","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5125","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5126","Female","36-45","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5127","Female","Above 55","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5128","Female","36-45","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5129","Female","36-45","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5130","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5131","Male","36-45","CPSB","Agree","Feedback","I am given adequate feedback about my performance."
"5132","Female","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5133","Male","36-45","Devolution","Agree","Feedback","I am given adequate feedback about my performance."
"5134","Male","46-55","Water","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5135","Male","46-55","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5136","Male","36-45","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5137","Male","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5138","Male","Below 35","OOG","Disagree","Feedback","I am given adequate feedback about my performance."
"5139","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5140","Female","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5141","Male","36-45","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5142","Female","Below 35","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5143","Female","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5144","Male","36-45","YGSS","Disagree","Feedback","I am given adequate feedback about my performance."
"5145","Female","Below 35","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5146","Female","36-45","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5147","Female","46-55","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5148","Female","Below 35","Education","Strongly Disagree","Feedback","I am given adequate feedback about my performance."
"5149","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5150","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5151","Female","36-45","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5152","Female","36-45","Health","Strongly Disagree","Feedback","I am given adequate feedback about my performance."
"5153","Female","36-45","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5154","Male","46-55","Agriculture","Disagree","Feedback","I am given adequate feedback about my performance."
"5155","Female","Below 35","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5156","Male","Above 55","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5157","Female","36-45","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5158","Female","36-45","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5159","Male","Below 35","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5160","Female","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5161","Male","46-55","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5162","Female","Below 35","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5163","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5164","Female","Below 35","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5165","Female","Above 55","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5166","Female","Below 35","Transport","Neutral","Feedback","I am given adequate feedback about my performance."
"5167","Male","Below 35","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5168","Male","Below 35","Devolution","Neutral","Feedback","I am given adequate feedback about my performance."
"5169","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5170","Female","46-55","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5171","Male","Above 55","Agriculture","Neutral","Feedback","I am given adequate feedback about my performance."
"5172","Male","Below 35","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5173","Male","36-45","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5174","Female","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5175","Male","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5176","Female","46-55","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5177","Male","46-55","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5178","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5179","Male","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5180","Female","Below 35","Devolution","Neutral","Feedback","I am given adequate feedback about my performance."
"5181","Female","36-45","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5182","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5183","Male","36-45","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5184","Female","Above 55","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5185","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5186","Female","Below 35","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5187","Male","46-55","Transport","Strongly Disagree","Feedback","I am given adequate feedback about my performance."
"5188","Female","36-45","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5189","Female","36-45","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5190","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5191","Female","46-55","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5192","Female","Above 55","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5193","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5194","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5195","Male","46-55","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5196","Male","Below 35","Education","Strongly Disagree","Feedback","I am given adequate feedback about my performance."
"5197","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5198","Male","Below 35","Lands","Agree","Feedback","I am given adequate feedback about my performance."
"5199","Male","Below 35","Devolution","Neutral","Feedback","I am given adequate feedback about my performance."
"5200","Male","46-55","Finance","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5201","Male","36-45","Lands","Agree","Feedback","I am given adequate feedback about my performance."
"5202","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5203","Male","Below 35","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5204","Female","46-55","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5205","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5206","Female","36-45","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5207","Male","Below 35","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5208","Female","Below 35","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5209","Male","46-55","Devolution","Agree","Feedback","I am given adequate feedback about my performance."
"5210","Female","36-45","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5211","Male","46-55","OOG","Agree","Feedback","I am given adequate feedback about my performance."
"5212","Male","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5213","Female","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5214","Female","46-55","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5215","Male","46-55","Devolution","Agree","Feedback","I am given adequate feedback about my performance."
"5216","Male","Below 35","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5217","Male","46-55","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5218","Male","Below 35","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5219","Female","36-45","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5220","Female","Below 35","Finance","Strongly Disagree","Feedback","I am given adequate feedback about my performance."
"5221","Male","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5222","Male","Below 35","Devolution","Agree","Feedback","I am given adequate feedback about my performance."
"5223","Male","Below 35","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5224","Female","46-55","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5225","Male","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5226","Female","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5227","Female","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5228","Male","46-55","OOG","Agree","Feedback","I am given adequate feedback about my performance."
"5229","Female","Above 55","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5230","Male","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5231","Male","Below 35","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5232","Female","46-55","Devolution","Neutral","Feedback","I am given adequate feedback about my performance."
"5233","Female","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5234","Male","Above 55","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5235","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5236","Male","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5237","Male","Below 35","Transport","Strongly Disagree","Feedback","I am given adequate feedback about my performance."
"5238","Female","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5239","Male","46-55","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5240","Female","Above 55","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5241","Female","36-45","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5242","Female","46-55","Finance","Disagree","Feedback","I am given adequate feedback about my performance."
"5243","Male","36-45","Devolution","Disagree","Feedback","I am given adequate feedback about my performance."
"5244","Male","Below 35","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5245","Male","Above 55","Water","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5246","Female","46-55","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5247","Male","46-55","Agriculture","Disagree","Feedback","I am given adequate feedback about my performance."
"5248","Male","Below 35","Education","Strongly Disagree","Feedback","I am given adequate feedback about my performance."
"5249","Female","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5250","Female","46-55","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5251","Male","Above 55","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5252","Male","46-55","Education","Disagree","Feedback","I am given adequate feedback about my performance."
"5253","Male","46-55","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5254","Male","Below 35","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5255","Male","Below 35","Devolution","Agree","Feedback","I am given adequate feedback about my performance."
"5256","Male","46-55","Education","Disagree","Feedback","I am given adequate feedback about my performance."
"5257","Female","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5258","Male","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5259","Male","Below 35","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5260","Male","Below 35","Lands","Neutral","Feedback","I am given adequate feedback about my performance."
"5261","Female","Below 35","OOG","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5262","Male","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5263","Male","Below 35","Finance","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5264","Female","36-45","OOG","Strongly Disagree","Feedback","I am given adequate feedback about my performance."
"5265","Male","36-45","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5266","Female","46-55","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5267","Male","Below 35","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5268","Female","Below 35","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5269","Male","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5270","Female","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5271","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5272","Male","46-55","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5273","Female","46-55","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5274","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5275","Female","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5276","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5277","Male","36-45","Devolution","Agree","Feedback","I am given adequate feedback about my performance."
"5278","Female","36-45","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5279","Male","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5280","Male","Below 35","Devolution","Disagree","Feedback","I am given adequate feedback about my performance."
"5281","Male","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5282","Female","Below 35","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5283","Male","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5284","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5285","Male","Above 55","Transport","Agree","Feedback","I am given adequate feedback about my performance."
"5286","Male","36-45","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5287","Female","36-45","Agriculture","Disagree","Feedback","I am given adequate feedback about my performance."
"5288","Female","Below 35","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5289","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5290","Female","36-45","Devolution","Neutral","Feedback","I am given adequate feedback about my performance."
"5291","Male","36-45","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5292","Female","36-45","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5293","Male","Below 35","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5294","Male","Below 35","Devolution","Agree","Feedback","I am given adequate feedback about my performance."
"5295","Male","Below 35","Trade","Agree","Feedback","I am given adequate feedback about my performance."
"5296","Male","Below 35","Transport","Disagree","Feedback","I am given adequate feedback about my performance."
"5297","Female","Below 35","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5298","Male","36-45","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5299","Male","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5300","Female","46-55","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5301","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5302","Female","Below 35","Water","Agree","Feedback","I am given adequate feedback about my performance."
"5303","Female","Below 35","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5304","Female","36-45","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5305","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5306","Male","Below 35","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5307","Female","Below 35","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5308","Female","Below 35","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5309","Male","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5310","Male","46-55","Education","Strongly Disagree","Feedback","I am given adequate feedback about my performance."
"5311","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5312","Female","Above 55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5313","Female","Below 35","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5314","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5315","Female","Below 35","OOG","Agree","Feedback","I am given adequate feedback about my performance."
"5316","Female","Below 35","OOG","Agree","Feedback","I am given adequate feedback about my performance."
"5317","Male","36-45","trade","Agree","Feedback","I am given adequate feedback about my performance."
"5318","Female","36-45","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5319","Female","46-55","Finance","Disagree","Feedback","I am given adequate feedback about my performance."
"5320","Female","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5321","Male","46-55","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5322","Male","36-45","Lands","Strongly Disagree","Feedback","I am given adequate feedback about my performance."
"5323","Female","Below 35","Trade","Agree","Feedback","I am given adequate feedback about my performance."
"5324","Female","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5325","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5326","Male","Below 35","Lands","Disagree","Feedback","I am given adequate feedback about my performance."
"5327","Female","36-45","Education","Strongly Disagree","Feedback","I am given adequate feedback about my performance."
"5328","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5329","Male","46-55","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5330","Female","36-45","Education","Disagree","Feedback","I am given adequate feedback about my performance."
"5331","Male","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5332","Female","Below 35","Finance","Disagree","Feedback","I am given adequate feedback about my performance."
"5333","Female","Above 55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5334","Male","Above 55","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5335","Female","Below 35","Lands","Agree","Feedback","I am given adequate feedback about my performance."
"5336","Female","36-45","Education","Disagree","Feedback","I am given adequate feedback about my performance."
"5337","Female","36-45","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5338","Female","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5339","Female","36-45","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5340","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5341","Female","Below 35","Transport","Neutral","Feedback","I am given adequate feedback about my performance."
"5342","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5343","Male","36-45","trade","Neutral","Feedback","I am given adequate feedback about my performance."
"5344","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5345","Male","Below 35","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5346","Male","Below 35","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5347","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5348","Female","36-45","Agriculture","Neutral","Feedback","I am given adequate feedback about my performance."
"5349","Male","36-45","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5350","Female","Above 55","Water","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5351","Male","Below 35","Transport","Neutral","Feedback","I am given adequate feedback about my performance."
"5352","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5353","Male","36-45","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5354","Female","46-55","OOG","Agree","Feedback","I am given adequate feedback about my performance."
"5355","Male","Below 35","Transport","Agree","Feedback","I am given adequate feedback about my performance."
"5356","Female","46-55","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5357","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5358","Female","46-55","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5359","Male","46-55","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5360","Female","Below 35","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5361","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5362","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5363","Male","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
